OBJECTID_1,OBJECTID,CUT,REGION,PROVINCIA,COMUNA,AREA_C,COD_URBANO,TIPO_EP,NOMBRE_EP,OBSERVACIO,SUP_TOTAL_,SUP_VEGETA,GRUPO_URB,USO,TIPO_TAMAN,ID_AV,ADM,Shape_Length,Shape_Area
1,1,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,LAS CABRAS, ,951.351317, ,1,PÚBLICO,PLAZA,110110002,Otros,135.439686042075,951.351317001681
2,2,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA, , ,1340.70569859, ,1,PÚBLICO,PLAZA,110110004,Otros,236.394325055625,1340.70569859124
3,3,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,EL PESCADOR, ,995.61491853, ,1,PÚBLICO,PLAZA,110110005,Otros,136.235919407238,995.614918531566
4,4,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA, , ,559.44199345, ,1,PÚBLICO,PLAZA,110110012,Otros,134.577860431999,559.441993446779
5,5,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,MIRADOR, ,5193.65115321, ,1,PÚBLICO,PLAZA,110110013,Otros,535.528908355066,5193.65115320513
6,6,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,SAN CARLOS, ,1657.22207861, ,1,PÚBLICO,PLAZA,110110014,Otros,165.953375016649,1657.22207861313
7,7,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,SAN LORENZO, ,2694.59807606, ,1,PÚBLICO,PLAZA,110110015,Otros,234.581287849301,2694.59807605874
8,8,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,ARICA, ,2490.15530045, ,1,PÚBLICO,PLAZA,110110016,Otros,206.173905806797,2490.1553004532
9,9,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,EL ÁGUILA-P. PRADO, ,2464.80195941, ,1,PÚBLICO,PLAZA,110110033,Otros,263.396478081008,2464.8019594091
10,10,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,CHIPANA-C DRAGÓN, ,2021.68741744, ,1,PÚBLICO,PLAZA,110110034,Otros,336.710301855979,2021.68741744389
11,11,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,CERRO DRAGÓN-FREY MONTALVA, ,1038.56577018, ,1,PÚBLICO,PLAZA,110110035,Otros,202.467003499525,1038.5657701804
12,12,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,LA JUAN FERNÁNDEZ, ,2167.94659098, ,1,PÚBLICO,PLAZA,110110036,Otros,214.856363938433,2167.94659097524
13,13,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,SALVADOR  ALLENDE-A CASTILLO, ,583.40840307, ,1,PÚBLICO,PLAZA,110110037,Otros,105.269274167806,583.408403069439
14,14,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,OASIS, ,659.83883607, ,1,PÚBLICO,PLAZA,110110038,Otros,102.750267848219,659.838836064535
15,15,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA, , ,2711.913536, ,1,PÚBLICO,PLAZA,110110039,Otros,358.890904868632,2711.91353600127
16,16,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA, , ,493.22639531, ,1,PÚBLICO,PLAZA,110110040,Otros,101.886445845914,493.226395310284
17,17,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,CARAMPAGNE, ,565.218725, ,1,PÚBLICO,PLAZA,110110042,Otros,95.5040453121911,565.218725000042
18,18,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,TENIENTE IBÁÑEZ, ,1917.54575812, ,1,PÚBLICO,PLAZA,110110043,Otros,190.708118543188,1917.54575811656
19,19,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,LA CANTERA, ,535.26022837, ,1,PÚBLICO,PLAZA,110110050,Otros,110.406567641211,535.260228366706
20,20,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,13 ORIENTE, ,1457.8945889, ,1,PÚBLICO,PLAZA,110110051,Otros,190.76670426087,1457.89458889836
21,21,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA, ,JUEGOS INFANTILES,753.27285237, ,1,PÚBLICO,PLAZA,110110052,Otros,116.227360837278,753.272852374581
22,22,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,PEDRO PRADO-TALCA, ,1024.09557718, ,1,PÚBLICO,PLAZA,110110053,Otros,125.937966748476,1024.09557717644
23,23,1101,DE TARAPACÁ,IQUIQUE,IQUIQUE,URBANO,11011,PLAZA,PEDRO PRADO-TUCAPEL, ,1114.14383389, ,1,PÚBLICO,PLAZA,110110054,Otros,133.199944342497,1114.14383388702
